_id,timestamp,uiVersion,user ID,userID,event,parameter,__v
64ec82b0422709a28eaef572,2023-08-28T11:19:12.109Z,1,1011,1011,session_started,"""clicked#1011""",0
64ec8336422709a28eaef574,2023-08-28T11:21:25.992Z,1,1011,1011,request_plans_button,clicked,0
64ec83c7422709a28eaef576,2023-08-28T11:23:51.573Z,1,1011,1011,smily_interaction#3,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y,0
64ec8408422709a28eaef578,2023-08-28T11:24:56.239Z,1,1011,1011,level_of_difficulty,education#2,0
64ec8408422709a28eaef57a,2023-08-28T11:24:56.638Z,1,1011,1011,level_of_difficulty,education#3,0
64ec8417422709a28eaef57c,2023-08-28T11:25:11.246Z,1,1011,1011,change_acceptable_values,education#Prof-school,0
64ec8426422709a28eaef57e,2023-08-28T11:25:26.111Z,1,1011,1011,level_of_difficulty,occupation#2,0
64ec843e422709a28eaef580,2023-08-28T11:25:50.271Z,1,1011,1011,level_of_difficulty,workclass#2,0
64ec846e422709a28eaef582,2023-08-28T11:26:38.700Z,1,1011,1011,propose_new_plan_btn,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y@overalSatisfication3,0
64ec8490422709a28eaef584,2023-08-28T11:27:12.543Z,1,1011,1011,smily_interaction#4,@education#Assoc-voc#Prof-school@hours_per_week#40#51@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y,0
64ec8498422709a28eaef586,2023-08-28T11:27:20.404Z,1,1011,1011,level_of_difficulty,hours_per_week#3,0
64ec84a4422709a28eaef588,2023-08-28T11:27:32.386Z,1,1011,1011,level_of_difficulty,occupation#1,0
64ec84a7422709a28eaef58a,2023-08-28T11:27:35.018Z,1,1011,1011,level_of_difficulty,workclass#2,0
64ec84a7422709a28eaef58c,2023-08-28T11:27:35.055Z,1,1011,1011,level_of_difficulty,workclass#1,0
64ec84ae422709a28eaef58e,2023-08-28T11:27:42.356Z,1,1011,1011,propose_new_plan_btn,@education#Assoc-voc#Prof-school@hours_per_week#40#51@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y@overalSatisfication4,0
64ec84c5422709a28eaef590,2023-08-28T11:28:05.570Z,1,1011,1011,smily_interaction#5,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y,0
64ec84fa422709a28eaef592,2023-08-28T11:28:58.069Z,1,1011,1011,keep_plan_button,@education#Assoc-voc#Prof-school@occupation#Prof-specialty#Exec-managerial@workclass#Private#Federal-gov@hardship_flag#N#Y,0
64ec87b6422709a28eaef594,2023-08-28T11:40:38.662Z,2,1011,1011,session_started,"""clicked#1011""",0
64ec87c9422709a28eaef596,2023-08-28T11:40:56.990Z,2,1011,1011,request_plans_button,clicked,0
64ec88a6422709a28eaef598,2023-08-28T11:44:37.858Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#hours_per_week#50#61#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y#smily_value#3,0
64ec88aa422709a28eaef59a,2023-08-28T11:44:41.830Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y#smily_value#2,0
64ec88c4422709a28eaef59c,2023-08-28T11:45:08.559Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#annual_inc#82000#273305.5888605267#hardship_flag#N#Y#smily_value#3,0
64ec88dc422709a28eaef59e,2023-08-28T11:45:31.934Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#hours_per_week#50#61#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#annual_inc#82000#273305.5888605267#hardship_flag#N#Y#smily_value#4,0
64ec88ec422709a28eaef5a0,2023-08-28T11:45:48.068Z,2,1011,1011,modify_plan_button,#CLICKED#education#Bachelors#Prof-school#hours_per_week#50#61#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#annual_inc#82000#273305.5888605267#hardship_flag#N#Y,0
64ec8910422709a28eaef5a2,2023-08-28T11:46:24.250Z,2,1011,1011,modify_value_categorical,Workclass#Prefrences_acceptable_values:Self-emp-inc,0
64ec8926422709a28eaef5a4,2023-08-28T11:46:45.894Z,2,1011,1011,modify_value_categorical,Education#Prefrences_acceptable_values:Prof-school,0
64ec8946422709a28eaef5a6,2023-08-28T11:47:18.469Z,2,1011,1011,interface_2,resubmit_loan_plan,0
64ec89a6422709a28eaef5a8,2023-08-28T11:48:54.060Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y#smily_value#3,0
64ec89a7422709a28eaef5aa,2023-08-28T11:48:55.539Z,2,1011,1011,modify_plan_button,#CLICKED#education#Bachelors#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y,0
64ec89ac422709a28eaef5ac,2023-08-28T11:49:00.674Z,2,1011,1011,modify_value_categorical,Workclass#Prefrences_acceptable_values:Self-emp-inc,0
64ec89b3422709a28eaef5ae,2023-08-28T11:49:06.970Z,2,1011,1011,modify_value_categorical,Workclass#Prefrences_acceptable_values:Private,0
64ec89c6422709a28eaef5b0,2023-08-28T11:49:26.038Z,2,1011,1011,modify_value_categorical,Job#Prefrences_acceptable_values:Other-service,0
64ec89e8422709a28eaef5b2,2023-08-28T11:50:00.227Z,2,1011,1011,interface_2,resubmit_loan_plan,0
64ec8a29422709a28eaef5b4,2023-08-28T11:51:04.739Z,2,1011,1011,smily_interaction,#education#Bachelors#Prof-school#hours_per_week#50#61#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y#smily_value#4,0
64ec8a2a422709a28eaef5b6,2023-08-28T11:51:06.004Z,2,1011,1011,keep_plan_button,#CLICKED##education#Bachelors#Prof-school#hours_per_week#50#61#workclass#Self-emp-not-inc#Federal-gov#hardship_flag#N#Y,0
64ecad46422709a28eaef5b8,2023-08-28T14:20:53.484Z,2,1012,1012,session_started,"""clicked#1012""",0
64ecae40422709a28eaef5ba,2023-08-28T14:25:03.248Z,2,1012,1012,request_plans_button,clicked,0
64ecaed1422709a28eaef5bc,2023-08-28T14:27:29.328Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
64ecaf1b422709a28eaef5be,2023-08-28T14:28:43.679Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#hours_per_week#40#51#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#3,0
64ecaff8422709a28eaef5c0,2023-08-28T14:32:23.878Z,2,1012,1012,smily_interaction,#education#Assoc-voc#Prof-school#occupation#Prof-specialty#Exec-managerial#workclass#Private#Federal-gov#hardship_flag#N#Y#smily_value#5,0
